pattern,format,example
\d{4}-\d{2}-\d{2},YYYY-MM-DD,2022-09-30
\d{8}_\d{1},YYYYMMDD_H,20220930_1
\d{2}-\d{2}-\d{4},DD-MM-YYYY,30-09-2022
\d{4}/\d{2}/\d{2},YYYY/MM/DD,2022/09/30
\d{8},YYYYMMDD,20220930
\d{1},1 digit,3
\d{14},14 digits,20220930143015
\d{4}\d{2}\d{2},YYYYMMDD,20220930
\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2},YYYY-MM-DD-HH.MM.SS,2022-09-30-12.45.30
\d{4}\d{2},YYYYMM,202209
\d{4}-\d{2}-\d{2}-\d{2}[/\.]\d{2}[/\.]\d{2},YYYY-MM-DD-HH/MM/DD,2022-09-30-12/01/05
\d{4}-\d{2}-\d{2}[/\.]\d{0,7},YYYY-MM-DD[/\.],2022-09-30
\d{4}-\d{2}-\d{2}[/\.]\d{0,3},YYYY-MM-DD[./],2022-09-30.
\d{0,7},0 to 7 digits,1234567
\d{1,5},1 to 5 digits,12345
\d{4}_\d{2},YYYY_MM,2022_09
\d{4}[/\.]\d{2}[/\.]\d{2},YYYY/MM/DD,2022/09/30
YYYYMMDD,YYYYMMDD,20220930
YYYY-MM-DD,YYYY-MM-DD,2022-09-30
\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2},YYYY-MM-DD-HH.MM.SS,2022-09-30-12.45.30
\d{4}-\d{2}-\d{2},YYYY-MM-DD,2022-09-30
YYYYMM,YYYYMM,202209
\d{4}[/\.]\d{2},YYYY/MM,2022/09
\d{1,4},1 to 4 digits,1234
\d{1,3},1 to 3 digits,123
\d{6},6 digits,123456
\d{4}\d{2}\d{2},YYYYMMDD,20220930
YYYYMMDDHHMMSS,YYYYMMDDHHMMSS,20220930143015
MMDDYYHHMMSS,MMDDYYHHMMSS,093022143015
MMDDYYYYHHMMSS,MMDDYYYYHHMMSS,09302022143015
YYYY\.MM\.DD,YYYY.MM.DD,2022.09.30
d{14}_\d{1,3},14 digits_1 to 3 digits,20220930143015_123
YYMMDD,YYMMDD,221001
MM_DD_YYYY,MM_DD_YYYY,09_30_2022
YYYMMDD,YYYMMDD,202210
